,name,link,city,medias,styles
20,Nuits sonores,https://shotgun.live/fr/venues/nuits-sonores,Lyon,"{'Instagram': 'https://www.instagram.com/nuits_sonores'}, {'SoundCloud': 'https://soundcloud.com/nuits-sonores'}, {'Facebook': 'https://www.facebook.com/nuitssonores.festival'}","TRANCE, PROGRESSIVE HOUSE"
21,RAW,https://shotgun.live/fr/venues/raw-ppl,Paris,"{'Instagram': 'https://www.instagram.com/rawppl'}, {'SoundCloud': 'https://soundcloud.com/rawppl'}, {'Spotify': 'https://open.spotify.com/user/4jabrawqasjg2fug24n27kx78'}, {'YouTube': 'https://www.youtube.com/@rawppl'}, {'TikTok': 'https://www.tiktok.com/@rawtechno'}, {'Facebook': 'https://www.facebook.com/rawppl'}","TECHNO, TRANCE, HARD GROOVE, HYPNOTIC TECHNO, HARD TRANCE, HARD TECHNO, HOUSE, ELECTRO, HARDTEK, HARDCORE, ACID TECHNO, ACIDCORE, ITALO DISCO"
22,Wonderland Open-Air,https://shotgun.live/fr/venues/wonderland-open-air,Paris,"{'Instagram': 'https://www.instagram.com/wonderland.open.air'}, {'TikTok': 'https://www.tiktok.com/@wonderland.open.air'}, {'Facebook': 'https://www.facebook.com/Wonderland.Open.Air.events'}","HARD TECHNO, ACID TECHNO, NEORAVE, TRANCE, HOUSE, TECHNO, ELECTRO, HARD GROOVE, DEEP TECHNO, DISCO, DISCO HOUSE, ACID HOUSE, ITALO DISCO, HARD TRANCE, TECH HOUSE, MICRO HOUSE"
23,GLAZART,https://shotgun.live/fr/venues/glazart,Paris,"{'Instagram': 'https://www.instagram.com/glazartparis'}, {'SoundCloud': 'https://soundcloud.com/glazart'}, {'TikTok': 'https://www.tiktok.com/@glazartparis'}, {'X': 'https://x.com/glazart'}, {'Facebook': 'https://www.facebook.com/glazartparis'}","TECHNO, DRUM & BASS, TRANCE, HARD TECHNO, HOUSE, ELECTRONICA, MINIMAL TECHNO, DEEP TECHNO, ELECTRO HOUSE, BASS, NEORAVE, GERMAN TECHNO, HARDTEK, UK GARAGE, HYPNOTIC TECHNO, HARDCORE, HARDSTYLE, MELODIC HOUSE & TECHNO, ACID HOUSE, DUBSTEP, FRENCHCORE, ACID TECHNO, DARK WAVE, EBM, NEW WAVE, EXPERIMENTAL, PUNK, GABBER, DUB, HARD GROOVE, INDUSTRIAL, HARD TRANCE, ELECTRO, AFROBEAT, AFRO, AFRO HOUSE, ITALO DISCO"
24,Amnexia,https://shotgun.live/fr/venues/amnexia,Paris,"{'Instagram': 'https://www.instagram.com/amnexia_production'}, {'TikTok': 'https://www.tiktok.com/@amnexia.production'}, {'Facebook': 'https://www.facebook.com/Amnexiaprod'}","TECHNO, HARD TECHNO, HARD GROOVE, TRANCE, HARD TRANCE, ACID TECHNO, HARDCORE, NEORAVE, ELECTRO, HARDSTYLE, HARDTEK, PSYTRANCE, DRUM & BASS, BASS, ACIDCORE, DEEP TECHNO, GERMAN TECHNO, DETROIT TECHNO, FRENCHCORE, GABBER"
25,PISICA,https://shotgun.live/fr/venues/pisica,Paris,"{'Instagram': 'https://www.instagram.com/pisicaevents'}, {'SoundCloud': 'https://soundcloud.com/pisica-records'}, {'Facebook': 'https://www.facebook.com/pisicaevents'}","HARD TRANCE, PSYTRANCE, DARK PSYTRANCE, HARD TECHNO, TECHNO, ACID TECHNO, TRANCE, EXPERIMENTAL, HARD GROOVE, EURODANCE, DANCE, INDUSTRIAL, HYPNOTIC TECHNO, BREAKBEAT, ACIDCORE, TRIBE, HOUSE, TECH HOUSE, NEORAVE, MINIMAL TECHNO, DEEP TECH, DISCO, HARDTEK, GERMAN TECHNO, HARDCORE, GABBER, ACID HOUSE, DEEP HOUSE, MINIMAL HOUSE, MICRO HOUSE"
26,Cabaret Aléatoire,https://shotgun.live/fr/venues/cabaretaleatoire,Marseille,"{'Instagram': 'https://www.instagram.com/cabaretaleatoire'}, {'SoundCloud': 'https://soundcloud.com/cabaret-aleatoire'}, {'TikTok': 'https://www.tiktok.com/@cabaretaleatoire'}, {'X': 'https://x.com/K_aleatoire'}, {'Facebook': 'https://www.facebook.com/cabaretaleatoire'}","FUNK, HIP HOP, SOUL, DOWNTEMPO, HOUSE, ITALO DISCO, DISCO, ELECTRO, AFRO, R&B, INDIE DANCE, HARD TECHNO, HARD TRANCE, HARD GROOVE, ROCK, POP ROCK, INDIE ROCK, DANCEHALL, TECHNO, BREAKBEAT, IDM, HARDCORE, TECH HOUSE, PSYTRANCE, RAP, MIAMI BASS, ACID TECHNO, GERMAN TECHNO, MINIMAL TECHNO, DEEP TECHNO, DISCO HOUSE, REGGAETON, BAILE FUNK, EBM, CLUB, BASS HOUSE, EURODANCE, ACID HOUSE, BASS, INDUSTRIAL, TRANCE, PROGRESSIVE PSYTRANCE, TRAP, HARDTEK, HARDSTYLE, AMAPIANO, AFROBEAT, UK GARAGE, ELECTRO HOUSE, PROGRESSIVE TRANCE, DEEP TECH, GHETTOTECH, NEORAVE, POP, AMBIENT, ELECTRONICA, DEEP HOUSE, JAZZ, MELODIC HOUSE & TECHNO, AFRO HOUSE"
27,THE PEACOCK SOCIETY,https://shotgun.live/fr/venues/the-peacock-society,Paris,"{'Instagram': 'https://www.instagram.com/peacocksociety'}, {'SoundCloud': 'https://soundcloud.com/peacock-society'}, {'Spotify': 'https://open.spotify.com/user/thepeacocksociety'}, {'X': 'https://x.com/peacocksociety'}, {'Facebook': 'https://www.facebook.com/peacocksociety'}","EURODANCE, TRANCE, HARD GROOVE, HOUSE, TECHNO, DEEP HOUSE, ELECTRO, DRUM & BASS, HIP HOP, TECH HOUSE"
28,Silencio,https://shotgun.live/fr/venues/silencio,Paris,{'Instagram': 'https://www.instagram.com/silencioclub'},"ELECTRO, HOUSE, DISCO, DISCO HOUSE, CLUB, RAP, DEEP HOUSE, TECHNO, ELECTRO HOUSE, TRIBAL HOUSE, ACID HOUSE, LATIN HOUSE, ALTERNATIVE DANCE, TRAP, ELECTRONICA, HIP HOP, BAILE FUNK, AFROBEAT, SOUL, FUNK, JAZZ, POP ROCK, POP, INDIE ROCK, BALEARIC, DETROIT TECHNO, REGGAE, MELODIC HOUSE & TECHNO, POST-PUNK, PUNK, AFRO HOUSE, TECH HOUSE, INDIE DANCE, R&B, DARK PSYTRANCE, TRANCE, DUB TECHNO, CLASSICAL, DANCE, DARK WAVE, PROGRESSIVE HOUSE"
29,LA BELLEVILLOISE,https://shotgun.live/fr/venues/la-bellevilloise,Paris,"{'Instagram': 'https://www.instagram.com/labellevilloise'}, {'Facebook': 'https://www.facebook.com/labellevilloiseparis'}","DISCO, FUNK, RAP, DANCEHALL, SHATTA, AMAPIANO, R&B, AFRO, POP, TECHNO, ELECTRO, HOUSE, ACID HOUSE, UK GARAGE, BAILE FUNK, BOUYON, HIP HOP, SOUL, JAZZ, ARABIC HOUSE, DISCO HOUSE, SALSA, CUMBIA, REGGAETON, AFROBEAT, ELECTRO HOUSE, SYNTHPOP, EXPERIMENTAL, AMBIENT, GARAGE, TECH HOUSE, BOSSA NOVA, HARD GROOVE, TRAP, EURODANCE, DEEP HOUSE, TRANCE, ACID TECHNO, HEAVY METAL, INDIE ROCK, MICRO HOUSE, AFRO HOUSE, SAMBA, DUB TECHNO, BRAZILIAN, ITALO DISCO, BREAKBEAT, ROCK, MINIMAL HOUSE, ALTERNATIVE DANCE, POST-PUNK, DOWNTEMPO"
